deepgram_transcript,genesys_transcript,audio_wall_clock_end,genesys_received_at,true_latency_s,true_latency_ms,channel,similarity
I really felt quite distressed at not receiving an invitation. You weren't want,oh great even the rabble i really felt quite distressed at not receiving an invitation you weren't wanting not oh oh dear what an awkward situation i had hoped it was merely due to some oversight,1773861884.6494603,1773861896.586646,11.9372,11937.2,EXTERNAL,0.568
"You bug, you knob, you button head. Know that I glory in this note of mine.",thurity small my nose why magnificent my nose you pug you not you button head know that i glory in this nose of mine for the great nose indicates a great man genial,1773861478.198265,1773861484.177415,5.9791,5979.1,EXTERNAL,0.57
"intellectual, merrill, courageous,",intellectual mural courageous,1773861485.928266,1773861487.331554,1.4033,1403.3,EXTERNAL,0.9
"Presently, this fellow will grow tired. Oh, he blows his horn.",my left foot presently this fellow will grow tire oh he blows his horn well will no one put him in his place if you will allow me observe list you,1773861516.8382661,1773861529.7212238,12.883,12883.0,EXTERNAL,0.559
Your nose is rather large.,your nose your nose is rather large,1773861531.768266,1773861533.3816462,1.6134,1613.4,EXTERNAL,0.833
"Why, you might have said a great many things. Why waste your opportunity?",rather oh well is that all well of course no young sir you're too simple why you might have said a great many things why waste your opportunity for example thus i,1773861545.228266,1773861549.774059,4.5458,4545.8,EXTERNAL,0.606
"For example, thus, our dreadnip. I said if that nose were mine, I'd have it as",i sort of that nose were mine i'd have it amputated on the spot,1773861550.2882612,1773861553.28386,2.9956,2995.6,EXTERNAL,0.578
How do you drink with such a nose? You must have had a cup made especially.,practical how do you drink with such a nose you must have had a cup made especially descriptive just a rock a crag a cape a cape,1773861556.918266,1773861564.358946,7.4407,7440.7,EXTERNAL,0.726
A cape? Say rather a peninsula.,say rather a peninsula,1773861565.728271,1773861567.2364218,1.5082,1508.2,EXTERNAL,0.863
"top heavy, eloquent. When it blows, the typhoon howls",eloquent when it goes the typhoon howls and the clouds darken,1773861588.288266,1773861591.2297978,2.9415,2941.5,EXTERNAL,0.667
"Dramatic. When it bleeds,",tramatic when it bleeds the red sea,1773861592.428276,1773861596.923691,4.4954,4495.4,EXTERNAL,0.759
It's simple. When do they unveil the monument?,when do they unveil the monument,1773861599.8082662,1773861601.424654,1.6164,1616.4,EXTERNAL,0.853
"Military, beware a secret weapon.",military beware a secret weapon,1773861604.0482662,1773861605.694165,1.6459,1645.9,EXTERNAL,1.0
Enterprising on a sign for some consumer.,enterprising but it's signed for some consumers,1773861608.288266,1773861609.8145258,1.5263,1526.3,EXTERNAL,0.86
"Or literary, was this the nose that launched a thousand ships",respectful i recognize in you a man of parts a man of prominence or literary was this for those that launched a thousand ships,1773861619.878256,1773861621.626094,1.7478,1747.8,EXTERNAL,0.613
Start with,start with,1773861651.8082662,1773861653.1364439,1.3282,1328.2,EXTERNAL,1.0
Have I got your attention now?,have i got your retention now,1773861062.032247,1773861063.646425,1.6142,1614.2,EXTERNAL,0.931
Good.,good,1773861065.832246,1773861067.433764,1.6015,1601.5,EXTERNAL,1.0
You all know first prize is a Cadillac Eldorado. Anybody wanna see second prize?,cause we're adding a little something to this month's sales contest we all know first prize is cadillac el dorado anybody wants to see second prize,1773861075.4222472,1773861077.579946,2.1577,2157.7,EXTERNAL,0.646
Second prize instead of steak knives.,second prize senate prize,1773861078.632246,1773861080.1003048,1.4681,1468.1,EXTERNAL,0.59
Third prize is your file.,third prize is you fine,1773861083.782249,1773861085.102219,1.32,1320.0,EXTERNAL,0.936
You're laughing now?,laughing now,1773861090.802247,1773861092.366276,1.564,1564.0,EXTERNAL,0.8
"Because you drove a Hyundai to get here tonight. I drove an $80,000 BMW. That's my name.",you that's my name you know why mister cause you drove a hun day to get here tonight i drove an eighty thousand dollar bmw that's my name,1773861124.852247,1773861126.834799,1.9826,1982.6,EXTERNAL,0.682
You can't play in the man's game. You can't close them.,and your name is your wanting you can't play in the men's game you can't close them like something,1773861135.632247,1773861139.97359,4.3413,4341.3,EXTERNAL,0.676
Get them to sign on the line which is dotted.,because only one thing counts in this line get them to sign on the line which is dotted,1773861145.4522471,1773861147.437616,1.9854,1985.4,EXTERNAL,0.672
"Hear me, you fucking faggots.",you fucking baggage,1773861147.832247,1773861149.174763,1.3425,1342.5,EXTERNAL,0.652
"What's the problem, Tom? You lost. You're such a hero. You're so rich.",it's a problem town you lost you're such a hero you're so rich how come you coming down and wasting time with such plenty of pumps,1773861216.262237,1773861220.958107,4.6959,4695.9,EXTERNAL,0.582
You see this watch?,see this watch,1773861223.1522472,1773861224.557816,1.4056,1405.6,EXTERNAL,0.875
That watch costs more than your car.,that watch cost more than your car,1773861232.742247,1773861234.45469,1.7124,1712.4,EXTERNAL,0.986
"I made $970,000 last year, how much you made.",i made nine hundred seventy thousand dollars last year how much you,1773861237.532257,1773861238.876508,1.3443,1344.3,EXTERNAL,0.556
Nice guy. I don't give a shit.,nice guy i don't give a shit,1773861248.112247,1773861249.846326,1.7341,1734.1,EXTERNAL,1.0
Good father. Fuck you. Go home and play with your kids.,good father help you go home and play with your kids,1773861252.252247,1773861253.83554,1.5833,1583.3,EXTERNAL,0.923
You wanna work here? Close.,you wanna work here close,1773861255.392247,1773861257.2046342,1.8124,1812.4,EXTERNAL,1.0
Do you think this is abuse?,do you think this is abuse,1773861257.992247,1773861260.313406,2.3212,2321.2,EXTERNAL,1.0
You think this is abuse? You caught something. You can't take this.,you think this is abuse you constant you can't take this how can you take the abuse you get on a sick,1773861262.542237,1773861266.7204921,4.1783,4178.3,EXTERNAL,0.613
Why did you see,did you,1773861268.632247,1773861284.766164,16.1339,16133.9,EXTERNAL,0.636
Do and do likewise.,don't do like chance,1773861287.242247,1773861307.607711,20.3655,20365.5,EXTERNAL,0.649
What it takes to sell real estate?,doing likewise a i d a it's shit mad know what it takes to sell real estate,1773861293.582257,1773861295.8178089,2.2356,2235.6,EXTERNAL,0.617
Money's out there. You pick it up. It's yours. You don't think I know.,money's out there you pick it up it's yours you tell me i know,1773861309.482247,1773861310.991311,1.5091,1509.1,EXTERNAL,0.894
"In a while, she says, and",been a while since i was in,1773860856.950362,1773860858.674288,1.7239,1723.9,EXTERNAL,0.68
front of you. I figure out sticking cards this time.,you have figure out sixty cars this time,1773860859.610364,1773860862.113961,2.5036,2503.6,EXTERNAL,0.733
There's some speculation that I was involved in the events that occurred,there is some speculation that i was involved in the events that occur that conveniently appeared despite the fact that it is confusing,1773860865.670363,1773860878.648194,12.9778,12977.8,EXTERNAL,0.689
It is one thing to question the official story and another thing entirely to make wild accusations,it is one thing to question the official story and another thing entirely to make wild accusations or insinuate that i am a superhero superlandish and,1773860882.0103629,1773860891.626286,9.6159,9615.9,EXTERNAL,0.79
fantastic.,fantastic,1773860891.300361,1773860894.064932,2.7646,2764.6,EXTERNAL,1.0
"I I'm just not the hero type, clearly.",i i'm just not the hero type clearly with his,1773860896.480361,1773860899.55642,3.0761,3076.1,EXTERNAL,0.886
"With this laundry list of character defects, all the mistakes I've made,",longer list of character defects all the mistakes i made largely public,1773860901.4103649,1773860904.978218,3.5679,3567.9,EXTERNAL,0.757
Truth is,truth is,1773860909.620363,1773860911.394876,1.7745,1774.5,EXTERNAL,1.0
She did something that in our society is unspeakable.,she did something that in our societies on speaker,1773860575.34338,1773860576.281656,0.9383,938.3,EXTERNAL,0.902
"With a strong, young, Negro man.",but it's strong young negrum,1773860586.37338,1773860587.3152158,0.9418,941.8,EXTERNAL,0.75
No code mattered to her before. She broke it.,it would matter to her before she,1773860592.903378,1773860594.143849,1.2405,1240.5,EXTERNAL,0.711
But it came crashing down on her assholes.,it just came crashing down once,1773860596.7833831,1773860597.880634,1.0973,1097.3,EXTERNAL,0.722
"Accounting, presented themselves to your general to this court.",exception the sheriff accounting presented themselves to chairman true this common,1773860612.173382,1773860613.303404,1.13,1130.0,EXTERNAL,0.657
And the cynical,and the cynical,1773860615.61338,1773860616.621181,1.0078,1007.8,EXTERNAL,1.0
The prayer testimony would not be doubted.,but just money would not be doubted,1773860620.98338,1773860622.190822,1.2074,1207.4,EXTERNAL,0.763
only grows up basically the moral beings,only gris are basically horrible beings,1773860639.08338,1773860640.2789571,1.1956,1195.6,EXTERNAL,0.785
All Negro men are about to be pestered around our women.,all nibra and that to be crested around our wedding,1773860643.883385,1773860644.823643,0.9403,940.3,EXTERNAL,0.717
Non assumption of one associates with mines,done assumption of one of associates with mons of their caliber,1773860649.8733752,1773860653.352045,3.4787,3478.7,EXTERNAL,0.755
"And which is in itself, gentlemen,",in whisen itself gentlemen,1773860655.01338,1773860656.013427,1.0,1000.0,EXTERNAL,0.828
Which I do not need to,which i do not need to point out to you,1773860661.86338,1773860663.940861,2.0775,2077.5,EXTERNAL,0.721
"a quiet, humble, respectable Negro,",a quiet humble respectable meter,1773860675.00338,1773860675.8947232,0.8913,891.3,EXTERNAL,0.906
who has had the unmitigated camera,who has had the mister terminal,1773860678.96338,1773860680.38021,1.4168,1416.8,EXTERNAL,0.738
"Sofia, the story for a white woman.",feel sorry for a wait moment,1773860682.25338,1773860682.9867048,0.7333,733.3,EXTERNAL,0.59
I had to put his word against,i had to put his word against two,1773860686.95338,1773860689.468339,2.515,2515.0,EXTERNAL,0.935
The defendant is not just,that this friend is not guilty,1773860697.30338,1773860698.490203,1.1868,1186.8,EXTERNAL,0.618
But somebody in this courtroom,but somebody in this courtroom is,1773860700.78338,1773860702.728748,1.9454,1945.4,EXTERNAL,0.952
"Now, gentlemen,",gentleman,1773860704.6633701,1773860706.4079921,1.7446,1744.6,EXTERNAL,0.727
in this country,in this country,1773860708.01338,1773860709.1198988,1.1065,1106.5,EXTERNAL,1.0
our courts are the great levelers.,our courts are the great levels,1773860712.52338,1773860713.837745,1.3144,1314.4,EXTERNAL,0.969
Our courts,our cards,1773860714.44338,1773860715.794623,1.3512,1351.2,EXTERNAL,0.737
"Oh,",oh,1773860716.4133801,1773860718.220185,1.8068,1806.8,EXTERNAL,1.0
Equal,equal,1773860720.71338,1773860721.5394938,0.8261,826.1,EXTERNAL,1.0
I have no idea this.,i have no idea this,1773860724.24338,1773860725.371443,1.1281,1128.1,EXTERNAL,1.0
To believe firmly in the integrity of our courts and our jury system.,to believe firmly in the integrity of our courts and our jury system,1773860729.55338,1773860730.386488,0.8331,833.1,EXTERNAL,1.0
"That's no ideal to me. That is a living, working reality.",that's no idea to me that there's a living working red,1773860734.09338,1773860734.87994,0.7866,786.6,EXTERNAL,0.876
That was the word ready.,i was avoid reading,1773860115.614522,1773860117.2705212,1.656,1656.0,EXTERNAL,0.571
"If I'll say you've served forty years of a life sentence,",if i'll say served forty years of a life sentence,1773860119.5745208,1773860121.095387,1.5209,1520.9,EXTERNAL,0.941
you feel you've been rehabilitated.,you feel you've got rehabilitated,1773860122.264524,1773860124.403635,2.1391,2139.1,EXTERNAL,0.892
"Well, now let me see.",well not let me see,1773860129.4045238,1773860131.388285,1.9838,1983.8,EXTERNAL,0.947
"You know, I don't have any idea what that means.",you know i don't have any idea what that means,1773860133.4145238,1773860135.199316,1.7848,1784.8,EXTERNAL,1.0
"Well, that means you're ready to rejoin society. I know what you",oh that means you're ready to rejoin so you think,1773860139.294524,1773860142.5534809,3.259,3259.0,EXTERNAL,0.734
"To me, it's such a made up word.",to me stuff made up word,1773860144.4745238,1773860146.087083,1.6126,1612.6,EXTERNAL,0.792
A politician's word. So,a politician's word so,1773860147.8945239,1773860149.5931761,1.6987,1698.7,EXTERNAL,1.0
Young fellas like yourself can wear a suit and a tie.,duncan like this i can wear a suit,1773860152.0245178,1773860154.1115892,2.0871,2087.1,EXTERNAL,0.605
"Have a job,",have a job,1773860153.834524,1773860155.712617,1.8781,1878.1,EXTERNAL,1.0
But he really wanna go.,what do you really want,1773860157.9345238,1773860159.5595572,1.625,1625.0,EXTERNAL,0.578
"I'm, like, sorry for what I did.",i'm not sorry for whatever did,1773860161.114524,1773860162.979348,1.8648,1864.8,EXTERNAL,0.772
"Not a day goes by, I don't feel regret.",another day goes by i don't feel regret,1773860167.304514,1773860169.221837,1.9173,1917.3,EXTERNAL,0.919
But because I'm in here because you think I should.,because i'm in here because you think i should have,1773860172.084524,1773860173.913028,1.8285,1828.5,EXTERNAL,0.909
I look back on the way I was. Okay?,i look back on the way i was and,1773860178.074524,1773860179.756161,1.6816,1681.6,EXTERNAL,0.923
stupid kid who committed a terrible crime.,hasn't committed that terrible crime,1773860185.864524,1773860187.572144,1.7076,1707.6,EXTERNAL,0.763
That's kids long gone.,those kids long gone,1773860205.514524,1773860207.0100338,1.4955,1495.5,EXTERNAL,0.9
This old man is all that's left.,this old man is all that snapped,1773860209.274524,1773860211.0643468,1.7898,1789.8,EXTERNAL,0.839
So you go on and stand before,so you go on and stand before i'm sunny and start wasting my time,1773860221.334514,1773860225.995628,4.6611,4661.1,EXTERNAL,0.624
